PATH,ROW,LATITUDE,LONGITUDE
2,5,80.4494,173.928
2,6,80.0027,169.299
2,7,79.4993,165.081
2,8,78.9469,161.255
2,9,78.3524,157.796
2,10,77.7219,154.672
2,11,77.0607,151.848
2,12,76.3733,149.294
2,13,75.6633,146.978
2,14,74.934,144.873
2,15,74.188,142.954
2,16,73.4276,141.199
2,17,72.6546,139.59
2,18,71.8707,138.11
2,19,71.0771,136.744
2,20,70.275,135.48
2,21,69.4655,134.306
2,22,68.6493,133.213
2,23,67.8271,132.193
2,24,66.9996,131.238
2,25,66.1673,130.342
2,26,65.3307,129.499
2,27,64.4902,128.704
2,28,63.6462,127.952
2,29,62.7989,127.241
2,30,61.9486,126.565
2,31,61.0957,125.923
2,32,60.2402,125.311
2,33,59.3825,124.727
2,34,58.5226,124.169
2,35,57.6607,123.634
2,36,56.797,123.121
2,37,55.9316,122.629
2,38,55.0646,122.155
2,39,54.1961,121.699
2,40,53.3262,121.258
2,41,52.455,120.833
2,42,51.5826,120.422
2,43,50.709,120.023
2,44,49.8343,119.637
2,45,48.9585,119.263
2,46,48.0818,118.899
2,47,47.2041,118.545
2,48,46.3255,118.201
2,49,45.4461,117.865
2,50,44.5658,117.538
2,51,43.6848,117.218
2,52,42.803,116.906
2,53,41.9206,116.601
2,54,41.0374,116.303
2,55,40.1536,116.011
2,56,39.2692,115.724
2,57,38.3842,115.443
2,58,37.4986,115.168
2,59,36.6125,114.897
2,60,35.7258,114.631
2,61,34.8387,114.369
2,62,33.951,114.112
2,63,33.0629,113.859
2,64,32.1743,113.609
2,65,31.2853,113.363
2,66,30.3958,113.12
2,67,29.506,112.881
2,68,28.6157,112.644
2,69,27.7251,112.411
2,70,26.8342,112.18
2,71,25.9429,111.952
2,72,25.0512,111.726
2,73,24.1593,111.503
2,74,23.267,111.282
2,75,22.3744,111.063
2,76,21.4816,110.846
2,77,20.5885,110.63
2,78,19.6951,110.417
2,79,18.8015,110.205
2,80,17.9077,109.995
2,81,17.0137,109.786
2,82,16.1194,109.578
2,83,15.225,109.372
2,84,14.3303,109.167
2,85,13.4355,108.963
2,86,12.5405,108.761
2,87,11.6454,108.559
2,88,10.7502,108.358
2,89,9.85476,108.158
2,90,8.95925,107.958
2,91,8.06363,107.759
2,92,7.16791,107.561
2,93,6.27211,107.363
2,94,5.37623,107.166
2,95,4.48029,106.969
2,96,3.5843,106.773
2,97,2.68826,106.577
2,98,1.79219,106.381
2,99,0.896101,106.185
2,100,-0,105.989
2,101,-0.896101,105.793
2,102,-1.79219,105.597
2,103,-2.68826,105.401
2,104,-3.5843,105.205
2,105,-4.48029,105.008
2,106,-5.37623,104.812
2,107,-6.27211,104.614
2,108,-7.16791,104.417
2,109,-8.06363,104.219
2,110,-8.95925,104.02
2,111,-9.85476,103.82
2,112,-10.7502,103.62
2,113,-11.6454,103.419
2,114,-12.5405,103.217
2,115,-13.4355,103.015
2,116,-14.3303,102.811
2,117,-15.225,102.606
2,118,-16.1194,102.4
2,119,-17.0137,102.192
2,120,-17.9077,101.983
2,121,-18.8015,101.773
2,122,-19.6951,101.561
2,123,-20.5885,101.348
2,124,-21.4816,101.132
2,125,-22.3744,100.915
2,126,-23.267,100.696
2,127,-24.1593,100.475
2,128,-25.0512,100.252
2,129,-25.9429,100.026
2,130,-26.8342,99.7978
2,131,-27.7251,99.567
2,132,-28.6157,99.3335
2,133,-29.506,99.0971
2,134,-30.3958,98.8577
2,135,-31.2853,98.615
2,136,-32.1743,98.369
2,137,-33.0629,98.1194
2,138,-33.951,97.866
2,139,-34.8387,97.6086
2,140,-35.7258,97.347
2,141,-36.6125,97.081
2,142,-37.4986,96.8103
2,143,-38.3842,96.5346
2,144,-39.2692,96.2537
2,145,-40.1536,95.9673
2,146,-41.0374,95.675
2,147,-41.9206,95.3765
2,148,-42.803,95.0715
2,149,-43.6848,94.7594
2,150,-44.5658,94.4401
2,151,-45.4461,94.1128
2,152,-46.3255,93.7773
2,153,-47.2041,93.4329
2,154,-48.0818,93.079
2,155,-48.9585,92.7152
2,156,-49.8343,92.3406
2,157,-50.709,91.9546
2,158,-51.5826,91.5564
2,159,-52.455,91.1451
2,160,-53.3262,90.7198
2,161,-54.1961,90.2794
2,162,-55.0646,89.8229
2,163,-55.9316,89.3491
2,164,-56.797,88.8565
2,165,-57.6607,88.3437
2,166,-58.5226,87.8091
2,167,-59.3825,87.2508
2,168,-60.2402,86.6668
2,169,-61.0957,86.055
2,170,-61.9486,85.4127
2,171,-62.7989,84.7373
2,172,-63.6462,84.0257
2,173,-64.4902,83.2743
2,174,-65.3307,82.4792
2,175,-66.1673,81.6361
2,176,-66.9996,80.7398
2,177,-67.8271,79.7848
2,178,-68.6493,78.7645
2,179,-69.4655,77.6717
2,180,-70.275,76.4979
2,181,-71.0771,75.2336
2,182,-71.8707,73.8677
2,183,-72.6546,72.3875
2,184,-73.4276,70.7785
2,185,-74.188,69.0242
2,186,-74.934,67.1053
2,187,-75.6633,65.0002
2,188,-76.3733,62.6841
2,189,-77.0607,60.1297
2,190,-77.7219,57.3064
2,191,-78.3524,54.1819
2,192,-78.9469,50.7228
2,193,-79.4993,46.8973
2,194,-80.0027,42.6787
2,195,-80.4494,38.0504
2,196,-80.831,33.0129
2,197,-81.1391,27.5906
2,198,-81.3659,21.8382
2,199,-81.5049,15.8418
3,1,81.5049,-164.829
3,2,81.3659,-170.825
3,3,81.1391,-176.578
3,4,80.831,178
3,5,80.4494,172.962
3,6,80.0027,168.334
3,7,79.4993,164.115
3,8,78.9469,160.29
3,9,78.3524,156.831
3,10,77.7219,153.706
3,11,77.0607,150.883
3,12,76.3733,148.329
3,13,75.6633,146.013
3,14,74.934,143.907
3,15,74.188,141.989
3,16,73.4276,140.234
3,17,72.6546,138.625
3,18,71.8707,137.145
3,19,71.0771,135.779
3,20,70.275,134.515
3,21,69.4655,133.341
3,22,68.6493,132.248
3,23,67.8271,131.228
3,24,66.9996,130.273
3,25,66.1673,129.377
3,26,65.3307,128.534
3,27,64.4902,127.739
3,28,63.6462,126.987
3,29,62.7989,126.275
3,30,61.9486,125.6
3,31,61.0957,124.958
3,32,60.2402,124.346
3,33,59.3825,123.762
3,34,58.5226,123.204
3,35,57.6607,122.669
3,36,56.797,122.156
3,37,55.9316,121.664
3,38,55.0646,121.19
3,39,54.1961,120.733
3,40,53.3262,120.293
3,41,52.455,119.868
3,42,51.5826,119.456
3,43,50.709,119.058
3,44,49.8343,118.672
3,45,48.9585,118.298
3,46,48.0818,117.934
3,47,47.2041,117.58
3,48,46.3255,117.236
3,49,45.4461,116.9
3,50,44.5658,116.573
3,51,43.6848,116.253
3,52,42.803,115.941
3,53,41.9206,115.636
3,54,41.0374,115.338
3,55,40.1536,115.046
3,56,39.2692,114.759
3,57,38.3842,114.478
3,58,37.4986,114.203
3,59,36.6125,113.932
3,60,35.7258,113.666
3,61,34.8387,113.404
3,62,33.951,113.147
3,63,33.0629,112.893
3,64,32.1743,112.644
3,65,31.2853,112.398
3,66,30.3958,112.155
3,67,29.506,111.916
3,68,28.6157,111.679
3,69,27.7251,111.446
3,70,26.8342,111.215
3,71,25.9429,110.987
